group,Channels
ext,MyHdFᴴᴰ:MBC Bollywood,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48369
ext,MyHdFᴴᴰ:MBC IRAQ HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48370
ext,MyHdFᴴᴰ:MBC MAX HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48371
ext,MyHdFᴴᴰ:MBC PLUS  VARITEY,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48372
ext,MyHdFᴴᴰ: MBC+ Variety HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48373
ext,MyHdFᴴᴰ:ROTANA AFLAM,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48374
ext,MyHdFᴴᴰ:ROTANA CINEMA,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48375
ext,MyHdFᴴᴰ:ROTANA CLASSIC,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48376
ext,MyHdFᴴᴰ:ROTANA DRAMA,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48377
ext,MyHdFᴴᴰ:ROTANA KHALIJIYAH,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48378
ext,MyHdFᴴᴰ:ROTANA MUSIC,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48379
ext,MyHdFᴴᴰ:FAST & FUNBOX,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48381
ext,MyHdFᴴᴰ:CINMA HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/48383
ext,MyHd@: MBC+ DRAMA.HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/26864
ext,MyHd@: Fox Crime HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/26868
ext,MyHd@: My Cinema HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/26875
ext,MyHd@: FX HD.,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/26874
ext,Rotana + HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94989
ext,Rotana M+ HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94990
ext,Rotana Aflam + HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94991
ext,Rotana Clip HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94992
ext,Rotana Music HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94993
ext,Rotana Classic HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94994
ext,Rotana Drama HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94995
ext,Rotana Khalijiah HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94996
ext,Rotana Comedy HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94997
ext,Rotana Cinema Egy HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94998
ext,Rotana Cinema KSA HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/94999
ext,Rotana Drama 1080,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/95000
ext,Rotana Comedy 1080,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/95001
ext,Rotana Classic 1080,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/95002
ext,OSN®: Yahala,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87728
ext,OSN®: YH Cinema,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87729
ext,OSN®: Yahala Oula,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87730
ext,OSN®: Aflam1,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87731
ext,OSN®: Aflam2,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87732
ext,OSN®: Cinema,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87733
ext,OSN®: Fann,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87734
ext,OSN®: Hekayat,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87735
ext,OSN®: Hekayat2,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87736
ext,OSN®: Al Yawm,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87737
ext,OSN®: Al Safwa,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87738
ext,OSN®: Comedy,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87739
ext,OSN®: Comedy Central,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87740
ext,OSN®: Series First,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87741
ext,OSN®: E!,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87742
ext,OSN®: Series +2,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87743
ext,OSN®: Action,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87744
ext,OSN®: Movies Series,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87745
ext,OSN®: Movie First 1,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87746
ext,OSN®: Kids,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87747
ext,OSN®: Movies,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87748
ext,OSN®: Movies First +2,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87749
ext,OSN®: Enigma,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87750
ext,OSN®: Series,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87751
ext,OSN®: Paramount Channel,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87752
ext,OSN®: Star Movies,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87753
ext,OSN®: Star World,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87754
ext,OSN®: Living,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87755
ext,OSN®: News,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/87756
